"","run","water.price.elasticity","Irrigation.Efficiency","Scenario.1","Kc","share.other.crops.irrigation","water.price","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"158",2,-0.1,0.7,FALSE,0.2,0.57,5.2,37,0,180,5.2,32619.695744894,33833.5595136,66453.255258494,781474.35179055,3.968745984
"159",2,-0.1,0.7,FALSE,0.2,0.57,5.2,38,0,180,5.2,26141.8655090784,33146.966458368,59288.8319674464,626350.841273562,3.968745984
"160",2,-0.1,0.7,FALSE,0.2,0.57,5.2,39,0.186559442365509,180,14.9010910030065,17167.2382756833,27621.6680248389,44788.9063005222,483685.177338669,3.968745984
"161",2,-0.1,0.7,FALSE,0.2,0.57,5.2,40,0.284641426372063,180,20.0013541713473,7902.19692473362,20867.2120266129,28769.4089513466,411978.364737625,3.968745984
"162",2,-0.1,0.7,FALSE,0.2,0.57,5.2,41,0.295260814957711,180,20.553562377801,2809.51475014325,18814.9535615878,21624.4683117311,411688.546834932,3.968745984
"163",2,-0.1,0.7,FALSE,0.2,0.57,5.2,42,0.339963340927332,180,22.8780937282212,293.452298623708,15874.2781103238,16167.7304089475,463769.61021147,3.968745984
"164",2,-0.1,0.7,FALSE,0.2,0.57,5.2,43,0.15607290215331,180,13.3157909119721,372.804795473775,20246.7136348235,20619.5184302973,671966.149393574,3.968745984
"165",2,-0.1,0.7,FALSE,0.2,0.57,5.2,44,0,180,5.2,441.75,24237.131724288,24678.881724288,921000,3.968745984
"166",2,-0.1,0.7,FALSE,0.2,0.57,5.2,45,0,180,5.2,444.6,24050.60066304,24495.20066304,921000,3.968745984
"167",2,-0.1,0.7,FALSE,0.2,0.57,5.2,46,0,180,5.2,3856.9074943234,27189.878736384,31046.7862307074,921000,3.968745984
"168",2,-0.1,0.7,FALSE,0.2,0.57,5.2,47,0,180,5.2,10294.1048044988,28932.15822336,39226.2630278588,921000,3.968745984
"169",2,-0.1,0.7,FALSE,0.2,0.57,5.2,48,0,180,5.2,26208.6481789296,32972.341635072,59180.9898140016,921000,4.000495951872
"170",2,-0.1,0.7,FALSE,0.2,0.57,5.2,49,0,180,5.2,34000.952806888,34104.2279897088,68105.1807965968,921000,4.000495951872
"171",2,-0.1,0.7,FALSE,0.2,0.57,5.2,50,0,180,5.2,26899.5345758916,32259.9993558958,59159.5339317874,917143.508019995,4.000495951872
"172",2,-0.1,0.7,FALSE,0.2,0.57,5.2,51,0,180,5.2,22354.3274210368,34228.2433642168,56582.5707852536,793369.44015642,4.000495951872
